n	75	Q	20	r_mod	31
67	43.621	11.226	0	9	546	606
68	35.186	48.041	0	9	410	470
69	37.245	49.18	0	15	524	584
70	32.381	1.616	0	14	156	216
71	2.492	19.502	0	14	344	404
72	24.958	44.525	0	15	109	169
73	33.957	22.806	0	14	415	475
74	19.067	22.074	0	12	110	170
75	15.15	8.873	0	14	580	640
76	47.483	19.66	0	-5	582	642
77	5.331	24.474	0	-14	274	334
78	26.401	15.403	0	-14	133	193
79	37.477	6.474	0	-15	328	388
80	43.062	13.188	0	-12	442	502
81	21.739	11.908	0	-14	430	490
82	33.577	1.716	0	-7	484	544
83	34.209	38.606	0	-14	194	254
84	8.032	9.129	0	-9	441	501
85	19.098	0.36	0	-15	54	114
86	7.578	19.942	0	-11	201	261
87	29.943	46.096	0	-15	101	161
88	4.324	1.655	0	-14	495	555
89	42.674	18.715	0	-5	185	245
90	37.125	33.361	0	-15	196	256
91	23.894	9.04	0	-14	501	561
92	49.189	22.832	0	-14	61	121
93	30.96	20.511	0	-15	17	77
94	49.061	9.657	0	-10	543	603
95	22.284	4.945	0	-6	250	310
96	40.976	41.481	0	-5	451	511
97	24.164	4.509	0	-14	392	452
98	26.562	15.123	0	-14	544	604
99	8.141	8.595	0	-10	172	232
100	40.549	35.473	0	-14	487	547
101	14.918	48.339	0	-7	378	438
102	39.422	21.959	0	-14	42	102
103	1.585	16.297	0	-10	315	375
104	32.23	5.886	0	-14	53	113
105	44.297	2.374	0	-14	464	524
106	34.729	23.412	0	-15	127	187
107	18.622	9.623	0	-14	515	575
108	44.229	40.55	0	-8	154	214
109	22.086	0.326	0	-13	419	479
110	45.961	44.388	0	-14	133	193
111	40.739	34.906	0	-9	313	373
112	18.587	42.562	0	-14	425	485
113	40.015	29.088	0	-14	475	535
114	46.932	32.844	0	-14	480	540
115	49.341	44.78	0	-14	417	477
116	25.916	45.283	0	-8	473	533
117	4.845	15.272	0	-14	432	492
118	32.44	29.275	0	-8	103	163
119	1.378	30.644	0	-15	37	97
120	0.886	6.005	0	-14	527	587
121	48.333	14.734	0	-14	366	426
122	14.583	11.094	0	-14	398	458
123	30.014	22.474	0	-7	326	386
124	28.206	31.931	0	-7	147	207
125	29.193	32.178	0	-15	119	179
126	25.198	45.138	0	-14	44	104
127	43.553	10.504	0	-6	541	601
128	1.422	7.97	0	-12	425	485
129	2.634	12.308	0	-15	273	333
130	16.949	37.356	0	-14	439	499
131	24.827	2.956	0	-11	32	92
132	45.364	18.704	0	-6	589	649
133	48.885	38.759	0	-7	318	378
134	41.305	35.612	0	-6	154	214
135	28.002	7.563	0	-9	344	404
136	11.347	4.301	0	-9	287	347
137	17.842	49.653	0	-15	302	362
138	0.27	49.273	0	-14	375	435
139	12.111	0.741	0	-14	304	364
140	4.713	40.923	0	-8	237	297
141	5.61	21.136	0	-8	522	582
142	15.112	11.469	0	-9	574	634
143	13.516	7.788	0	-9	455	515
144	36.479	8.006	0	-15	565	625
145	49.578	34.757	0	-14	193	253
146	9.118	31.574	0	-14	357	417
147	23.875	36.185	0	-15	117	177
148	20.53	31.998	0	-14	431	491
149	15.562	18.248	0	-12	115	175
150	5.95	16.766	0	-14	592	652
151	25.0	25.0	0	0	0	1000
